,word,ort,pho,wf,adjusted_wf
3306,nip,__ni_p____,__nIp___,3.24,3.24
3307,nips,__ni_ps___,__nIps__,0.61,0.61
3308,nit,__ni_t____,__nIt___,0.16,0.16
3309,nits,__ni_ts___,__nIts__,0.06,0.06
3310,nix,__ni_x____,__nIks__,1.63,1.63
3311,no,__no______,__no____,5971.55,5971.55
3312,nob,__no_b____,__nab___,0.35,0.35
3313,nod,__no_d____,__nad___,3.98,3.98
3314,node,__no_de___,__nod___,0.49,0.49
3315,nodes,__no_des__,__nodz__,0.55,0.55
3316,nods,__no_ds___,__nadz__,0.33,0.33
3317,nog,__no_g____,__nag___,0.22,0.22
3318,noise,__noise___,__nOz___,34.88,34.88
3319,non,__no_n____,__nan___,0.0,0.0
3320,nonce,__no_nce__,__nans__,0.06,0.06
3321,none,__no_ne___,__n^n___,110.61,110.61
3322,nook,__nook____,__nUk___,1.06,1.06
3323,nooks,__nooks___,__nUks__,0.2,0.2
3324,noon,__noon____,__nun___,18.12,18.12
3325,noons,__noons___,__nunz__,0.0,0.0
3326,noose,__noose___,__nus___,2.18,2.18
3327,nor,__no_r____,__nor___,35.98,35.98
3328,norm,__no_rm___,__norm__,3.33,3.33
3329,norms,__no_rms__,__normz_,0.31,0.31
3330,north,__no_rth__,__norT__,63.88,63.88
3331,nose,__no_se___,__noz___,69.75,69.75
3332,not,__no_t____,__nat___,5424.96,5424.96
3333,notch,__no_tch__,__natC__,3.33,3.33
3334,note,__no_te___,__not___,53.55,53.55
3335,notes,__no_tes__,__nots__,24.61,24.61
3336,nought,__nought__,__nat___,0.22,0.22
3337,noun,__noun____,__nWn___,0.53,0.53
3338,nouns,__nouns___,__nWnz__,0.25,0.25
3339,now,__now_____,__nW____,3202.61,3202.61
3340,nub,__nu_b____,__n^b___,0.14,0.14
3341,nubs,__nu_bs___,__n^bz__,0.04,0.04
3342,nude,__nu_de___,__nud___,5.9,5.9
3343,nudge,__nu_dge__,__n^J___,1.12,1.12
3344,nudged,__nu_dged_,__n^Jd__,0.1,0.1
3345,null,__nu_ll___,__n^l___,0.0,0.0
3346,numb,__nu_mb___,__n^m___,4.88,4.88
3347,nun,__nu_n____,__n^n___,6.96,6.96
3348,nuns,__nu_ns___,__n^nz__,4.27,4.27
3349,nurse,__nu_rse__,__n^rs__,44.98,44.98
3350,nut,__nu_t____,__n^t___,15.63,15.63
3351,nuts,__nu_ts___,__n^ts__,53.51,26.755
3352,nuts,__nu_ts___,__n^ts__,53.51,26.755
3353,nymph,__ny_mph__,__nImf__,0.75,0.75
3354,nymphs,__ny_mphs_,__nImfs_,0.57,0.57
3355,oaf,___oaf____,___of___,0.98,0.98
3356,oafs,___oafs___,___ofs__,0.08,0.08
3357,oak,___oak____,___ok___,5.61,5.61
3358,oaks,___oaks___,___oks__,1.69,1.69
3359,oar,___oar____,___or___,0.82,0.82
3360,oars,___oars___,___orz__,1.08,1.08
3361,oast,___oast___,___ost__,0.02,0.02
3362,oat,___oat____,___ot___,0.53,0.53
3363,oath,___oath___,___oT___,9.88,9.88
3364,oaths,___oaths__,___oTs__,0.37,0.37
3365,oats,___oats___,___ots__,2.06,2.06
3366,odd,___o_dd___,___ad___,24.04,24.04
3367,ode,___o_de___,___od___,0.8,0.8
3368,odes,___o_des__,___odz__,0.02,0.02
3369,of,___o_f____,___^v___,11577.24,11577.24
3370,off,___o_ff___,___af___,1179.51,1179.51
3371,oft,___o_ft___,___aft__,0.41,0.41
3372,ohm,___o_hm___,___om___,0.08,0.08
3373,ohms,___o_hms__,___omz__,0.04,0.04
3374,oil,___oil____,___Ol___,41.08,41.08
3375,oils,___oils___,___Olz__,1.33,1.33
3376,old,___o_ld___,___old__,608.94,608.94
3377,ole,___o_le___,___ol___,0.0,0.0
3378,on,___o_n____,___an___,6955.73,6955.73
3379,once,___o_nce__,__w^ns__,344.88,344.88
3380,oops,___oops___,___ups__,10.9,10.9
3381,ooze,___ooze___,___uz___,0.53,0.53
3382,ops,___o_ps___,___aps__,4.2,4.2
3383,or,___o_r____,___or___,1705.29,1705.29
3384,orange,___o_range,___ornJ_,22.31,22.31
3385,orb,___o_rb___,___orb__,2.75,2.75
3386,orbs,___o_rbs__,___orbz_,0.41,0.41
3387,ore,___o_re___,___or___,1.65,1.65
3388,ores,___o_res__,___orz__,0.39,0.39
3389,ouch,___ouch___,___WC___,10.96,10.96
3390,ought,___ought__,___at___,80.75,80.75
3391,ounce,___ounce__,___Wns__,4.04,4.04
3392,our,___our____,___Wr___,1400.49,1400.49
3393,oust,___oust___,___Wst__,0.06,0.06
3394,ousts,___ousts__,___Wsts_,0.02,0.02
3395,out,___out____,___Wt___,3865.31,3865.31
3396,owe,___owe____,___o____,74.16,74.16
3397,owed,___owed___,___od___,7.33,7.33
3398,owes,___owes___,___oz___,9.37,9.37
3399,owl,___owl____,___Wl___,5.61,5.61
3400,owls,___owls___,___Wlz__,2.12,2.12
3401,own,___own____,___on___,459.2,459.2
3402,owned,___owned__,___ond__,11.75,11.75
3403,owns,___owns___,___onz__,19.14,19.14
3404,ox,___o_x____,___aks__,7.78,7.78
3405,pa,__pa______,__pa____,23.88,23.88
3406,pace,__pa_ce___,__pes___,9.57,9.57
3407,pack,__pa_ck___,__p@k___,43.82,43.82
3408,packed,__pa_cked_,__p@kt__,17.73,17.73
3409,packs,__pa_cks__,__p@ks__,4.53,4.53
3410,pact,__pa_ct___,__p@kt__,3.76,3.76
3411,pacts,__pa_cts__,__p@kts_,0.18,0.18
3412,pad,__pa_d____,__p@d___,8.14,8.14
3413,pads,__pa_ds___,__p@dz__,3.16,3.16
3414,page,__pa_ge___,__peJ___,37.49,37.49
3415,paid,__paid____,__ped___,85.67,85.67
3416,pail,__pail____,__pel___,0.94,0.94
3417,pails,__pails___,__pelz__,0.12,0.12
3418,pain,__pain____,__pen___,97.94,97.94
3419,pains,__pains___,__penz__,5.27,5.27
3420,paint,__paint___,__pent__,36.8,36.8
3421,paints,__paints__,__pents_,2.73,2.73
3422,pair,__pair____,__pEr___,37.25,37.25
3423,pairs,__pairs___,__pErz__,4.16,4.16
3424,pal,__pa_l____,__p@l___,57.59,57.59
3425,pale,__pa_le___,__pel___,8.02,8.02
3426,pall,__pa_ll___,__pal___,0.45,0.45
3427,palls,__pa_lls__,__palz__,0.0,0.0
3428,palm,__pa_lm___,__palm__,13.24,13.24
3429,palms,__pa_lms__,__palmz_,3.71,3.71
3430,pals,__pa_ls___,__p@lz__,5.88,5.88
3431,pan,__pa_n____,__p@n___,12.29,12.29
3432,pane,__pa_ne___,__pen___,0.47,0.47
3433,panes,__pa_nes__,__penz__,0.06,0.06
3434,pang,__pa_ng___,__p@ng__,1.59,1.59
3435,pangs,__pa_ngs__,__p@ngz_,0.33,0.33
3436,pans,__pa_ns___,__p@nz__,2.14,2.14
3437,pant,__pa_nt___,__p@nt__,0.96,0.96
3438,pants,__pa_nts__,__p@nts_,58.75,19.583333333333332
3439,pants,__pa_nts__,__p@nts_,58.75,19.583333333333332
3440,pants,__pa_nts__,__p@nts_,58.75,19.583333333333332
3441,pap,__pa_p____,__p@p___,1.29,1.29
3442,paps,__pa_ps___,__p@ps__,0.0,0.0
3443,par,__pa_r____,__par___,4.96,4.96
3444,parch,__pa_rch__,__parC__,0.04,0.04
3445,parched,__pa_rched,__parCt_,1.14,1.14
3446,pare,__pa_re___,__pEr___,0.12,0.12
3447,pared,__pa_red__,__pErd__,0.04,0.04
3448,pares,__pa_res__,__pErz__,0.02,0.02
3449,park,__pa_rk___,__park__,72.12,72.12
3450,parks,__pa_rks__,__parks_,3.73,3.73
3451,pars,__pa_rs___,__parz__,0.04,0.04
3452,parse,__pa_rse__,__pars__,0.12,0.12
3453,part,__pa_rt___,__part__,261.51,261.51
3454,parts,__pa_rts__,__parts_,29.43,29.43
3455,pas,__pa_s____,__paz___,0.0,0.0
3456,pass,__pa_ss___,__p@s___,108.12,108.12
3457,passed,__pa_ssed_,__p@st__,51.59,51.59
3458,past,__pa_st___,__p@st__,123.76,123.76
3459,paste,__pa_ste__,__pest__,1.71,1.71
3460,pastes,__pa_stes_,__pests_,0.02,0.02
3461,pasts,__pa_sts__,__p@sts_,0.0,0.0
3462,pat,__pa_t____,__p@t___,18.29,18.29
3463,patch,__pa_tch__,__p@tC__,17.41,17.41
3464,pate,__pa_te___,__pet___,0.65,0.65
3465,pates,__pa_tes__,__pets__,0.0,0.0
3466,path,__pa_th___,__p@T___,24.55,24.55
3467,paths,__pa_ths__,__p@Dz__,3.55,3.55
3468,pats,__pa_ts___,__p@ts__,0.39,0.39
3469,paunch,__paunch__,__panC__,0.02,0.02
3470,pause,__pause___,__paz___,5.39,5.39
3471,paused,__paused__,__pazd__,0.25,0.25
3472,pave,__pa_ve___,__pev___,0.39,0.39
3473,paved,__pa_ved__,__pevd__,0.88,0.88
3474,paves,__pa_ves__,__pevz__,0.04,0.04
3475,paw,__paw_____,__pa____,3.12,3.12
3476,pawl,__pawl____,__pal___,0.0,0.0
3477,pawn,__pawn____,__pan___,4.33,4.33
3478,pawns,__pawns___,__panz__,0.8,0.8
3479,paws,__paws____,__paz___,2.49,2.49
3480,pay,__pay_____,__pe____,254.61,254.61
3481,pays,__pays____,__pez___,14.02,14.02
3482,pea,__pea_____,__pi____,3.9,3.9
3483,peace,__peace___,__pis___,69.61,69.61
3484,peach,__peach___,__piC___,6.35,6.35
3485,peak,__peak____,__pik___,5.94,5.94
3486,peaks,__peaks___,__piks__,1.59,1.59
3487,peal,__peal____,__pil___,0.14,0.14
3488,peals,__peals___,__pilz__,0.0,0.0
3489,pear,__pear____,__pEr___,1.33,1.33
3490,pearl,__pearl___,__p^rl__,15.67,15.67
3491,pearls,__pearls__,__p^rlz_,5.27,5.27
3492,pears,__pears___,__pErz__,0.98,0.98
3493,peas,__peas____,__piz___,4.65,4.65
3494,peat,__peat____,__pit___,0.25,0.25
3495,peats,__peats___,__pits__,0.0,0.0
3496,peck,__pe_ck___,__pEk___,3.53,3.53
3497,pecked,__pe_cked_,__pEkt__,0.31,0.31
3498,pecks,__pe_cks__,__pEks__,0.27,0.27
3499,pee,__pee_____,__pi____,18.14,18.14
3500,peed,__peed____,__pid___,2.63,2.63
3501,peek,__peek____,__pik___,5.33,5.33
3502,peeked,__peeked__,__pikt__,0.71,0.71
3503,peeks,__peeks___,__piks__,0.16,0.16
3504,peel,__peel____,__pil___,5.35,5.35
3505,peeled,__peeled__,__pild__,2.71,2.71
3506,peels,__peels___,__pilz__,0.69,0.69
3507,peep,__peep____,__pip___,4.43,4.43
3508,peeps,__peeps___,__pips__,0.63,0.63
3509,peer,__peer____,__pir___,1.53,1.53
3510,peered,__peered__,__pird__,0.22,0.22
3511,peers,__peers___,__pirz__,1.69,1.69
3512,pees,__pees____,__piz___,0.45,0.45
3513,peeve,__peeve___,__piv___,0.18,0.18
3514,peg,__pe_g____,__pEg___,36.41,36.41
3515,pegs,__pe_gs___,__pEgz__,0.27,0.27
3516,peke,__pe_ke___,__pik___,0.0,0.0
3517,pelf,__pe_lf___,__pElf__,0.0,0.0
3518,pelt,__pe_lt___,__pElt__,0.94,0.94
3519,pelts,__pe_lts__,__pElts_,0.43,0.43
3520,pen,__pe_n____,__pEn___,24.73,24.73
3521,pens,__pe_ns___,__pEnz__,2.53,2.53
3522,perch,__pe_rch__,__p^rC__,0.98,0.98
3523,perched,__pe_rched,__p^rCt_,0.59,0.59
3524,perk,__pe_rk___,__p^rk__,1.41,1.41
3525,perks,__pe_rks__,__p^rks_,1.76,1.76
3526,pert,__pe_rt___,__p^rt__,0.49,0.49
3527,pest,__pe_st___,__pEst__,2.86,2.86
3528,pests,__pe_sts__,__pEsts_,0.33,0.33
3529,pet,__pe_t____,__pEt___,20.18,20.18
3530,pets,__pe_ts___,__pEts__,5.69,5.69
3531,pew,__pew_____,__pY____,1.04,1.04
3532,pews,__pews____,__pYz___,0.14,0.14
3533,phage,_pha_ge___,__feJ___,0.0,0.0
3534,phase,_pha_se___,__fez___,12.33,12.33
3535,phi,_phi______,__fi____,0.9,0.9
3536,phlegm,phle_gm___,_flEm___,0.67,0.67
3537,phlox,phlo_x____,_flaks__,0.49,0.49
3538,phone,_pho_ne___,__fon___,269.73,269.73
3539,phones,_pho_nes__,__fonz__,13.02,13.02
3540,phrase,phra_se___,_frez___,9.1,9.1
3541,pi,__pi______,__pA____,3.67,3.67
3542,pick,__pi_ck___,__pIk___,198.39,198.39
3543,picked,__pi_cked_,__pIkt__,69.29,69.29
3544,picks,__pi_cks__,__pIks__,9.18,9.18
3545,pie,__pie_____,__pA____,28.75,28.75
3546,piece,__piece___,__pis___,124.49,124.49
3547,pier,__pier____,__pir___,6.55,6.55
3548,pierce,__pierce__,__pirs__,25.75,25.75
3549,pierced,__pierced_,__pirst_,2.94,2.94
3550,piers,__piers___,__pirz__,0.33,0.33
3551,pies,__pies____,__pAz___,3.45,3.45
3552,pig,__pi_g____,__pIg___,39.14,39.14
3553,pigs,__pi_gs___,__pIgz__,13.29,13.29
3554,pike,__pi_ke___,__pAk___,4.59,4.59
3555,pikes,__pi_kes__,__pAks__,0.24,0.24
3556,pile,__pi_le___,__pAl___,13.18,13.18
3557,piled,__pi_led__,__pAld__,1.49,1.49
3558,piles,__pi_les__,__pAlz__,1.78,1.78
3559,pill,__pi_ll___,__pIl___,11.82,11.82
3560,pills,__pi_lls__,__pIlz__,24.82,24.82
3561,pimp,__pi_mp___,__pImp__,8.63,8.63
3562,pimps,__pi_mps__,__pImps_,1.2,1.2
3563,pin,__pi_n____,__pIn___,16.37,16.37
3564,pinch,__pi_nch__,__pInC__,6.12,6.12
3565,pinched,__pi_nched,__pInCt_,2.71,2.71
3566,pine,__pi_ne___,__pAn___,6.2,6.2
3567,pines,__pi_nes__,__pAnz__,1.2,1.2
3568,ping,__pi_ng___,__pIng__,3.29,3.29
3569,pinged,__pi_nged_,__pIngd_,0.08,0.08
3570,pings,__pi_ngs__,__pIngz_,0.24,0.24
3571,pink,__pi_nk___,__pInk__,28.47,28.47
3572,pins,__pi_ns___,__pInz__,4.49,4.49
3573,pint,__pi_nt___,__pAnt__,3.27,3.27
3574,pints,__pi_nts__,__pAnts_,1.25,1.25
3575,pipe,__pi_pe___,__pAp___,19.39,19.39
3576,pipes,__pi_pes__,__pAps__,7.41,7.41
3577,pique,__pi_que__,__pik___,0.25,0.25
3578,pis,__pi_s____,__pAz___,0.08,0.08
3579,piss,__pi_ss___,__pIs___,23.59,23.59
3580,pit,__pi_t____,__pIt___,13.22,13.22
3581,pitch,__pi_tch__,__pItC__,15.53,15.53
3582,pith,__pi_th___,__pIT___,0.2,0.2
3583,piths,__pi_ths__,__pITs__,0.0,0.0
3584,pits,__pi_ts___,__pIts__,3.14,3.14
3585,place,_pla_ce___,_ples___,602.67,602.67
3586,plage,_pla_ge___,_pleJ___,0.0,0.0
3587,plague,_pla_gue__,_pleg___,8.31,8.31
3588,plagued,_pla_gued_,_plegd__,1.86,1.86
3589,plagues,_pla_gues_,_plegz__,0.53,0.53
3590,plaid,_plaid____,_pl@d___,1.61,1.61
3591,plaids,_plaids___,_pl@dz__,0.18,0.18
3592,plain,_plain____,_plen___,21.82,21.82
3593,plaint,_plaint___,_plent__,0.02,0.02
3594,plan,_pla_n____,_pl@n___,145.73,145.73
3595,plane,_pla_ne___,_plen___,95.53,95.53
3596,planes,_pla_nes__,_plenz__,17.53,17.53
3597,plank,_pla_nk___,_pl@nk__,2.04,2.04
3598,planks,_pla_nks__,_pl@nks_,0.25,0.25
3599,plans,_pla_ns___,_pl@nz__,56.22,56.22
3600,plant,_pla_nt___,_pl@nt__,27.61,27.61
3601,plants,_pla_nts__,_pl@nts_,9.57,9.57
3602,plaque,_pla_que__,_pl@k___,2.08,2.08
3603,plaques,_pla_ques_,_pl@ks__,0.16,0.16
3604,plate,_pla_te___,_plet___,25.65,25.65
3605,plates,_pla_tes__,_plets__,12.51,12.51
3606,play,_play_____,_ple____,354.53,354.53
3607,played,_played___,_pled___,56.27,56.27
3608,plays,_plays____,_plez___,29.82,29.82
3609,plea,_plea_____,_pli____,6.84,6.84
3610,pleach,_pleach___,_pliC___,0.0,0.0
3611,plead,_plead____,_plid___,7.0,7.0
3612,pleads,_pleads___,_plidz__,0.57,0.57
3613,pleas,_pleas____,_pliz___,0.39,0.39
3614,please,_please___,_pliz___,1100.96,1100.96
3615,pleased,_pleased__,_plizd__,28.53,28.53
3616,pleat,_pleat____,_plit___,0.06,0.06
3617,pleats,_pleats___,_plits__,0.25,0.25
3618,pleb,_ple_b____,_plEb___,0.0,0.0
3619,pled,_ple_d____,_plEd___,0.24,0.24
3620,pledge,_ple_dge__,_plEJ___,6.88,6.88
3621,plied,_plied____,_plAd___,0.14,0.14
3622,plies,_plies____,_plAz___,0.06,0.06
3623,plight,_pli_ght__,_plAt___,1.24,1.24
3624,plights,_pli_ghts_,_plAts__,0.0,0.0
3625,plinth,_pli_nth__,_plAnT__,0.0,0.0
3626,plod,_plo_d____,_plad___,0.1,0.1
3627,plop,_plo_p____,_plap___,0.84,0.84
3628,plopped,_plo_pped_,_plapt__,0.24,0.24
3629,plops,_plo_ps___,_plaps__,0.06,0.06
3630,plot,_plo_t____,_plat___,11.59,11.59
3631,plots,_plo_ts___,_plats__,1.69,1.69
3632,plough,_plough___,_plW____,1.06,1.06
3633,plow,_plow_____,_plW____,1.88,1.88
3634,plowed,_plowed___,_plWd___,0.65,0.65
3635,plows,_plows____,_plWz___,0.37,0.37
3636,ploy,_ploy_____,_plO____,1.53,1.53
3637,pluck,_plu_ck___,_pl^k___,2.31,2.31
3638,plucked,_plu_cked_,_pl^kt__,1.27,1.27
3639,plucks,_plu_cks__,_pl^ks__,0.2,0.2
3640,plug,_plu_g____,_pl^g___,10.41,10.41
3641,plugs,_plu_gs___,_pl^gz__,2.02,2.02
3642,plum,_plu_m____,_pl^m___,3.41,3.41
3643,plume,_plu_me___,_plum___,0.47,0.47
3644,plumes,_plu_mes__,_plumz__,0.35,0.35
3645,plump,_plu_mp___,_pl^mp__,1.47,1.47
3646,plums,_plu_ms___,_pl^mz__,1.04,1.04
3647,plunge,_plu_nge__,_pl^nJ__,2.24,2.24
3648,plunged,_plu_nged_,_pl^nJd_,0.98,0.98
3649,plunk,_plu_nk___,_pl^nk__,0.14,0.14
3650,plunked,_plu_nked_,_pl^nkt_,0.04,0.04
3651,plunks,_plu_nks__,_pl^nks_,0.04,0.04
3652,plus,_plu_s____,_pl^s___,47.04,47.04
3653,plush,_plu_sh___,_pl^S___,0.55,0.55
3654,ply,_ply______,_plA____,0.31,0.31
3655,po,__po______,__po____,0.0,0.0
3656,poach,__poach___,__poC___,0.33,0.33
3657,poached,__poached_,__poCt__,1.22,1.22
3658,pock,__po_ck___,__pak___,0.08,0.08
3659,pod,__po_d____,__pad___,8.0,8.0
3660,pods,__po_ds___,__padz__,1.98,1.98
3661,point,__point___,__pOnt__,236.53,236.53
3662,points,__points__,__pOnts_,32.2,32.2
3663,poise,__poise___,__pOz___,1.1,1.1
3664,poke,__po_ke___,__pok___,5.84,5.84
3665,poked,__po_ked__,__pokt__,1.31,1.31
3666,pokes,__po_kes__,__poks__,0.39,0.39
3667,pole,__po_le___,__pol___,12.59,12.59
3668,poles,__po_les__,__polz__,2.16,2.16
3669,poll,__po_ll___,__pol___,2.49,2.49
3670,polled,__po_lled_,__pold__,0.25,0.25
3671,polls,__po_lls__,__polz__,2.18,2.18
3672,pom,__po_m____,__pam___,0.82,0.82
3673,pomp,__po_mp___,__pamp__,0.39,0.39
3674,pomps,__po_mps__,__pamps_,0.0,0.0
3675,ponce,__po_nce__,__pans__,0.49,0.49
3676,pond,__po_nd___,__pand__,6.33,6.33
3677,ponds,__po_nds__,__pandz_,0.41,0.41
3678,pone,__po_ne___,__pon___,0.1,0.1
3679,pones,__po_nes__,__ponz__,0.0,0.0
3680,pons,__po_ns___,__panz__,0.0,0.0
3681,pooch,__pooch___,__puC___,1.29,1.29
3682,poof,__poof____,__puf___,2.16,2.16
3683,pool,__pool____,__pul___,46.98,46.98
3684,pools,__pools___,__pulz__,2.31,2.31
3685,poop,__poop____,__pup___,5.59,5.59
3686,poops,__poops___,__pups__,0.33,0.33
3687,poor,__poor____,__por___,129.08,129.08
3688,poove,__poove___,__puv___,0.0,0.0
3689,pop,__po_p____,__pap___,67.47,67.47
3690,pope,__po_pe___,__pop___,0.0,0.0
3691,popes,__po_pes__,__pops__,0.0,0.0
3692,popped,__po_pped_,__papt__,7.92,7.92
3693,pops,__po_ps___,__paps__,11.73,11.73
3694,porch,__po_rch__,__porC__,9.63,9.63
3695,pore,__po_re___,__por___,0.47,0.47
3696,pores,__po_res__,__porz__,1.73,1.73
3697,pork,__po_rk___,__pork__,10.53,10.53
3698,porks,__po_rks__,__porks_,0.0,0.0
3699,porn,__po_rn___,__porn__,11.61,11.61
3700,porns,__po_rns__,__pornz_,0.0,0.0
3701,port,__po_rt___,__port__,14.53,14.53
3702,ports,__po_rts__,__ports_,1.86,1.86
3703,pose,__po_se___,__poz___,6.8,6.8
3704,posed,__po_sed__,__pozd__,2.2,2.2
3705,posh,__po_sh___,__paS___,1.27,1.27
3706,post,__po_st___,__post__,32.43,32.43
3707,posts,__po_sts__,__posts_,2.76,2.76
3708,pot,__po_t____,__pat___,22.53,22.53
3709,pots,__po_ts___,__pats__,3.55,3.55
3710,pouch,__pouch___,__pWC___,1.71,1.71
3711,pounce,__pounce__,__pWns__,1.1,1.1
3712,pound,__pound___,__pWnd__,13.88,13.88
3713,pounds,__pounds__,__pWndz_,31.27,31.27
3714,pour,__pour____,__por___,15.12,15.12
3715,poured,__poured__,__pWrd__,4.35,4.35
3716,pours,__pours___,__porz__,1.49,1.49
3717,pout,__pout____,__pWt___,1.08,1.08
3718,pouts,__pouts___,__pWts__,0.1,0.1
3719,pox,__po_x____,__paks__,1.47,1.47
3720,praise,_praise___,_prez___,9.45,9.45
3721,praised,_praised__,_prezd__,1.71,1.71
3722,pram,_pra_m____,_pr@m___,0.22,0.22
3723,prams,_pra_ms___,_pr@mz__,0.0,0.0
3724,prance,_pra_nce__,_pr@ns__,0.76,0.76
3725,pranced,_pra_nced_,_pr@nst_,0.04,0.04
3726,prank,_pra_nk___,_pr@nk__,4.0,4.0
3727,pranks,_pra_nks__,_pr@nks_,1.04,1.04
3728,prat,_pra_t____,_pr@t___,0.37,0.37
3729,prawn,_prawn____,_pran___,0.51,0.51
3730,pray,_pray_____,_pre____,36.22,36.22
3731,prayed,_prayed___,_pred___,4.67,4.67
3732,prayer,_prayer___,_prEr___,15.78,15.78
3733,prayers,_prayers__,_prErz__,9.51,9.51
3734,prays,_prays____,_prez___,1.0,1.0
3735,preach,_preach___,_priC___,2.39,2.39
3736,preached,_preached_,_priCt__,0.63,0.63
3737,preen,_preen____,_prin___,0.06,0.06
3738,preened,_preened__,_prind__,0.0,0.0
3739,preens,_preens___,_prinz__,0.02,0.02
3740,prep,_pre_p____,_prEp___,7.55,7.55
3741,preps,_pre_ps___,_prEps__,0.04,0.04
3742,press,_pre_ss___,_prEs___,60.2,60.2
3743,prey,_prey_____,_pre____,5.51,5.51
3744,preys,_preys____,_prez___,0.25,0.25
3745,price,_pri_ce___,_prAs___,53.37,53.37
3746,prick,_pri_ck___,_prIk___,14.12,14.12
3747,pricked,_pri_cked_,_prIkt__,0.2,0.2
3748,pricks,_pri_cks__,_prIks__,1.45,1.45
3749,pride,_pri_de___,_prAd___,27.67,27.67
3750,prides,_pri_des__,_prAdz__,0.41,0.41
3751,pried,_pried____,_prAd___,0.33,0.33
3752,pries,_pries____,_prAz___,0.08,0.08
3753,priest,_priest___,_prist__,26.2,26.2
3754,priests,_priests__,_prists_,4.84,4.84
3755,prig,_pri_g____,_prIg___,0.39,0.39
3756,prim,_pri_m____,_prIm___,0.37,0.37
3757,prime,_pri_me___,_prAm___,18.29,18.29
3758,primp,_pri_mp___,_prImp__,0.12,0.12
3759,primped,_pri_mped_,_prImpt_,0.04,0.04
3760,primps,_pri_mps__,_prImps_,0.02,0.02
3761,prince,_pri_nce__,_prIns__,45.08,45.08
3762,prink,_pri_nk___,_prInk__,0.0,0.0
3763,print,_pri_nt___,_prInt__,19.96,19.96
3764,prints,_pri_nts__,_prInts_,17.02,17.02
3765,prise,_pri_se___,_prAz___,0.0,0.0
3766,prize,_pri_ze___,_prAz___,22.39,22.39
3767,pro,_pro______,_pro____,14.16,14.16
3768,probe,_pro_be___,_prob___,4.41,4.41
3769,probed,_pro_bed__,_probd__,0.45,0.45
3770,probes,_pro_bes__,_probz__,0.69,0.69
3771,prod,_pro_d____,_prad___,0.69,0.69
3772,prods,_pro_ds___,_pradz__,0.27,0.27
3773,prole,_pro_le___,_prol___,0.04,0.04
3774,prom,_pro_m____,_pram___,17.76,17.76
3775,prompt,_pro_mpt__,_prampt_,1.16,1.16
3776,prone,_pro_ne___,_pron___,1.8,1.8
3777,prong,_pro_ng___,_prang__,0.29,0.29
3778,proof,_proof____,_pruf___,34.39,34.39
3779,proofs,_proofs___,_prufs__,0.92,0.92
3780,prop,_pro_p____,_prap___,3.69,3.69
3781,props,_pro_ps___,_praps__,2.98,2.98
3782,pros,_pro_s____,_proz___,3.06,3.06
3783,prose,_pro_se___,_proz___,0.94,0.94
3784,proud,_proud____,_prWd___,83.63,83.63
3785,prove,_pro_ve___,_pruv___,70.39,70.39
3786,proved,_pro_ved__,_pruvd__,10.76,10.76
3787,proves,_pro_ves__,_pruvz__,7.92,7.92
3788,prow,_prow_____,_prW____,0.12,0.12
3789,prowl,_prowl____,_prWl___,1.29,1.29
3790,prowled,_prowled__,_prWld__,0.04,0.04
3791,prowls,_prowls___,_prWlz__,0.1,0.1
3792,prows,_prows____,_prWz___,0.0,0.0
3793,prude,_pru_de___,_prud___,1.37,1.37
3794,prune,_pru_ne___,_prun___,1.47,1.47
3795,prunes,_pru_nes__,_prunz__,0.69,0.69
3796,pry,_pry______,_prA____,4.12,4.12
3797,psalm,_psa_lm___,__salm__,0.0,0.0
3798,psalms,_psa_lms__,__salmz_,0.35,0.35
3799,pseud,_pseud____,__sYd___,0.0,0.0
3800,pub,__pu_b____,__p^b___,3.73,3.73
3801,pubs,__pu_bs___,__p^bz__,0.35,0.35
3802,puce,__pu_ce___,__pus___,0.24,0.24
3803,puck,__pu_ck___,__p^k___,2.88,2.88
3804,pucks,__pu_cks__,__p^ks__,0.16,0.16
3805,pud,__pu_d____,__p^d___,0.12,0.12
3806,puff,__pu_ff___,__p^f___,4.45,4.45
3807,puffed,__pu_ffed_,__p^ft__,0.82,0.82
3808,puffs,__pu_ffs__,__p^fs__,2.51,2.51
3809,pug,__pu_g____,__p^g___,1.02,1.02
3810,pugs,__pu_gs___,__p^gz__,0.06,0.06
3811,puke,__pu_ke___,__pYk___,6.25,6.25
3812,pukes,__pu_kes__,__pYks__,0.31,0.31
3813,pule,__pu_le___,__pYl___,0.02,0.02
3814,pull,__pu_ll___,__pUl___,146.45,146.45
3815,pulled,__pu_lled_,__pUld__,48.78,48.78
3816,pulls,__pu_lls__,__pUlz__,7.92,7.92
3817,pulp,__pu_lp___,__p^lp__,1.82,1.82
3818,pulps,__pu_lps__,__p^lps_,0.02,0.02
3819,pulse,__pu_lse__,__p^ls__,23.53,23.53
3820,pump,__pu_mp___,__p^mp__,12.65,12.65
3821,pumps,__pu_mps__,__p^mps_,3.86,3.86
3822,pun,__pu_n____,__p^n___,1.84,1.84
3823,punch,__pu_nch__,__p^nC__,29.69,29.69
3824,punk,__pu_nk___,__p^nk__,21.98,21.98
3825,punks,__pu_nks__,__p^nks_,4.14,4.14
3826,puns,__pu_ns___,__p^nz__,0.22,0.22
3827,punt,__pu_nt___,__p^nt__,0.73,0.73
